event_id,user_id,session_id,timestamp,product_id,search_event_id
AU00008_0_SESS_U00008_0_0,U00008,SESS_U00008_0_0,2026-06-01 20:00:17,P0006,SU00008_0_SESS_U00008_0_0
AU00027_0_SESS_U00027_0_0,U00027,SESS_U00027_0_0,2026-06-01 13:12:39,P0261,SU00027_0_SESS_U00027_0_0
AU00037_0_SESS_U00037_0_1,U00037,SESS_U00037_0_1,2026-06-01 14:41:52,P0450,SU00037_0_SESS_U00037_0_1
AU00048_0_SESS_U00048_0_0,U00048,SESS_U00048_0_0,2026-06-01 15:24:22,P0041,SU00048_0_SESS_U00048_0_0
AU00058_0_SESS_U00058_0_1,U00058,SESS_U00058_0_1,2026-06-01 20:57:18,P0482,SU00058_0_SESS_U00058_0_1
AU00058_0_SESS_U00058_0_1,U00058,SESS_U00058_0_1,2026-06-01 16:11:32,P0451,SU00058_0_SESS_U00058_0_1
AU00060_0_SESS_U00060_0_0,U00060,SESS_U00060_0_0,2026-06-01 22:05:40,P0249,SU00060_0_SESS_U00060_0_0
AU00060_0_SESS_U00060_0_0,U00060,SESS_U00060_0_0,2026-06-01 07:22:46,P0049,SU00060_0_SESS_U00060_0_0
AU00073_0_SESS_U00073_0_0,U00073,SESS_U00073_0_0,2026-06-01 12:02:43,P0433,SU00073_0_SESS_U00073_0_0
AU00080_0_SESS_U00080_0_0,U00080,SESS_U00080_0_0,2026-06-01 09:20:34,P0006,SU00080_0_SESS_U00080_0_0
AU00080_0_SESS_U00080_0_1,U00080,SESS_U00080_0_1,2026-06-01 07:27:21,P0246,SU00080_0_SESS_U00080_0_1
AU00097_0_SESS_U00097_0_0,U00097,SESS_U00097_0_0,2026-06-01 10:33:34,P0115,SU00097_0_SESS_U00097_0_0
AU00106_0_SESS_U00106_0_0,U00106,SESS_U00106_0_0,2026-06-01 19:41:42,P0059,SU00106_0_SESS_U00106_0_0
AU00112_0_SESS_U00112_0_0,U00112,SESS_U00112_0_0,2026-06-01 07:01:57,P0002,SU00112_0_SESS_U00112_0_0
AU00119_0_SESS_U00119_0_0,U00119,SESS_U00119_0_0,2026-06-01 20:40:36,P0016,SU00119_0_SESS_U00119_0_0
AU00120_0_SESS_U00120_0_0,U00120,SESS_U00120_0_0,2026-06-01 07:58:27,P0166,SU00120_0_SESS_U00120_0_0
