event_id,user_id,session_id,timestamp,search_event_id,product_id,result_position
CU00007_0_SESS_U00007_0_0_0,U00007,SESS_U00007_0_0,2026-06-01 08:52:21,SU00007_0_SESS_U00007_0_0_0,P0599,2
CU00008_0_SESS_U00008_0_0_0,U00008,SESS_U00008_0_0,2026-06-01 20:00:05,SU00008_0_SESS_U00008_0_0_0,P0006,5
CU00011_0_SESS_U00011_0_0_0,U00011,SESS_U00011_0_0,2026-06-01 09:24:08,SU00011_0_SESS_U00011_0_0_0,P0136,5
CU00015_0_SESS_U00015_0_0_1,U00015,SESS_U00015_0_0,2026-06-01 20:56:15,SU00015_0_SESS_U00015_0_0_1,P0041,1
CU00022_0_SESS_U00022_0_0_0,U00022,SESS_U00022_0_0,2026-06-01 08:43:11,SU00022_0_SESS_U00022_0_0_0,P0075,2
CU00022_0_SESS_U00022_0_0_1,U00022,SESS_U00022_0_0,2026-06-01 18:49:19,SU00022_0_SESS_U00022_0_0_1,P0065,1
CU00027_0_SESS_U00027_0_0_0,U00027,SESS_U00027_0_0,2026-06-01 13:12:12,SU00027_0_SESS_U00027_0_0_0,P0261,5
CU00033_0_SESS_U00033_0_0_0,U00033,SESS_U00033_0_0,2026-06-01 15:27:21,SU00033_0_SESS_U00033_0_0_0,P0002,1
CU00037_0_SESS_U00037_0_0_0,U00037,SESS_U00037_0_0,2026-06-01 19:05:14,SU00037_0_SESS_U00037_0_0_0,P0016,1
CU00037_0_SESS_U00037_0_1_0,U00037,SESS_U00037_0_1,2026-06-01 14:41:19,SU00037_0_SESS_U00037_0_1_0,P0450,7
CU00048_0_SESS_U00048_0_0_0,U00048,SESS_U00048_0_0,2026-06-01 15:24:08,SU00048_0_SESS_U00048_0_0_0,P0041,1
CU00058_0_SESS_U00058_0_0_0,U00058,SESS_U00058_0_0,2026-06-01 22:07:23,SU00058_0_SESS_U00058_0_0_0,P0115,1
CU00058_0_SESS_U00058_0_1_0,U00058,SESS_U00058_0_1,2026-06-01 20:57:12,SU00058_0_SESS_U00058_0_1_0,P0482,5
CU00058_0_SESS_U00058_0_1_1,U00058,SESS_U00058_0_1,2026-06-01 16:11:16,SU00058_0_SESS_U00058_0_1_1,P0451,1
CU00059_0_SESS_U00059_0_0_0,U00059,SESS_U00059_0_0,2026-06-01 15:11:25,SU00059_0_SESS_U00059_0_0_0,P0003,2
CU00060_0_SESS_U00060_0_0_1,U00060,SESS_U00060_0_0,2026-06-01 22:05:18,SU00060_0_SESS_U00060_0_0_1,P0249,3
CU00060_0_SESS_U00060_0_0_2,U00060,SESS_U00060_0_0,2026-06-01 07:22:19,SU00060_0_SESS_U00060_0_0_2,P0049,1
CU00073_0_SESS_U00073_0_0_0,U00073,SESS_U00073_0_0,2026-06-01 12:02:21,SU00073_0_SESS_U00073_0_0_0,P0433,1
CU00077_0_SESS_U00077_0_0_0,U00077,SESS_U00077_0_0,2026-06-01 21:47:03,SU00077_0_SESS_U00077_0_0_0,P0154,7
CU00078_0_SESS_U00078_0_0_0,U00078,SESS_U00078_0_0,2026-06-01 08:49:13,SU00078_0_SESS_U00078_0_0_0,P0002,1
CU00080_0_SESS_U00080_0_0_0,U00080,SESS_U00080_0_0,2026-06-01 09:20:03,SU00080_0_SESS_U00080_0_0_0,P0006,1
CU00080_0_SESS_U00080_0_1_0,U00080,SESS_U00080_0_1,2026-06-01 07:27:06,SU00080_0_SESS_U00080_0_1_0,P0246,1
CU00080_0_SESS_U00080_0_1_1,U00080,SESS_U00080_0_1,2026-06-01 11:28:12,SU00080_0_SESS_U00080_0_1_1,P0339,1
CU00097_0_SESS_U00097_0_0_2,U00097,SESS_U00097_0_0,2026-06-01 10:33:07,SU00097_0_SESS_U00097_0_0_2,P0115,3
CU00106_0_SESS_U00106_0_0_0,U00106,SESS_U00106_0_0,2026-06-01 19:41:18,SU00106_0_SESS_U00106_0_0_0,P0059,3
CU00112_0_SESS_U00112_0_0_0,U00112,SESS_U00112_0_0,2026-06-01 07:01:18,SU00112_0_SESS_U00112_0_0_0,P0002,1
CU00119_0_SESS_U00119_0_0_0,U00119,SESS_U00119_0_0,2026-06-01 20:40:19,SU00119_0_SESS_U00119_0_0_0,P0016,1
CU00120_0_SESS_U00120_0_0_0,U00120,SESS_U00120_0_0,2026-06-01 07:58:21,SU00120_0_SESS_U00120_0_0_0,P0166,4
CU00123_0_SESS_U00123_0_0_0,U00123,SESS_U00123_0_0,2026-06-01 20:38:19,SU00123_0_SESS_U00123_0_0_0,P0028,1
CU00125_0_SESS_U00125_0_0_0,U00125,SESS_U00125_0_0,2026-06-01 11:45:04,SU00125_0_SESS_U00125_0_0_0,P0001,1
CU00125_0_SESS_U00125_0_0_1,U00125,SESS_U00125_0_0,2026-06-01 19:01:21,SU00125_0_SESS_U00125_0_0_1,P0016,2
CU00129_0_SESS_U00129_0_0_2,U00129,SESS_U00129_0_0,2026-06-01 07:56:06,SU00129_0_SESS_U00129_0_0_2,P0427,1
CU00129_0_SESS_U00129_0_1_0,U00129,SESS_U00129_0_1,2026-06-01 21:18:11,SU00129_0_SESS_U00129_0_1_0,P0171,1
CU00134_0_SESS_U00134_0_0_0,U00134,SESS_U00134_0_0,2026-06-01 21:43:11,SU00134_0_SESS_U00134_0_0_0,P0027,1
CU00147_0_SESS_U00147_0_0_0,U00147,SESS_U00147_0_0,2026-06-01 14:20:05,SU00147_0_SESS_U00147_0_0_0,P0230,3
CU00149_0_SESS_U00149_0_0_0,U00149,SESS_U00149_0_0,2026-06-01 14:18:12,SU00149_0_SESS_U00149_0_0_0,P0069,4
CU00150_0_SESS_U00150_0_0_1,U00150,SESS_U00150_0_0,2026-06-01 13:48:04,SU00150_0_SESS_U00150_0_0_1,P0028,1
CU00166_0_SESS_U00166_0_0_0,U00166,SESS_U00166_0_0,2026-06-01 21:32:16,SU00166_0_SESS_U00166_0_0_0,P0310,3
CU00170_0_SESS_U00170_0_0_0,U00170,SESS_U00170_0_0,2026-06-01 12:22:23,SU00170_0_SESS_U00170_0_0_0,P0002,1
CU00179_0_SESS_U00179_0_0_0,U00179,SESS_U00179_0_0,2026-06-01 18:31:11,SU00179_0_SESS_U00179_0_0_0,P0433,1
CU00179_0_SESS_U00179_0_0_1,U00179,SESS_U00179_0_0,2026-06-01 21:36:05,SU00179_0_SESS_U00179_0_0_1,P0427,1
CU00179_0_SESS_U00179_0_1_0,U00179,SESS_U00179_0_1,2026-06-01 20:31:03,SU00179_0_SESS_U00179_0_1_0,P0183,1
CU00179_0_SESS_U00179_0_1_1,U00179,SESS_U00179_0_1,2026-06-01 19:53:23,SU00179_0_SESS_U00179_0_1_1,P0190,1
CU00187_0_SESS_U00187_0_0_0,U00187,SESS_U00187_0_0,2026-06-01 15:15:23,SU00187_0_SESS_U00187_0_0_0,P0205,1
CU00187_0_SESS_U00187_0_0_1,U00187,SESS_U00187_0_0,2026-06-01 22:46:21,SU00187_0_SESS_U00187_0_0_1,P0086,1
CU00192_0_SESS_U00192_0_0_0,U00192,SESS_U00192_0_0,2026-06-01 20:56:24,SU00192_0_SESS_U00192_0_0_0,P0001,1
CU00197_0_SESS_U00197_0_1_0,U00197,SESS_U00197_0_1,2026-06-01 19:16:09,SU00197_0_SESS_U00197_0_1_0,P0034,1
