user_id,experiment_name,variant,assigned_at
U00001,ai_search_v1,treatment,2026-06-01
U00002,ai_search_v1,control,2026-06-01
U00003,ai_search_v1,treatment,2026-06-01
U00004,ai_search_v1,control,2026-06-01
U00005,ai_search_v1,control,2026-06-01
U00006,ai_search_v1,control,2026-06-01
U00007,ai_search_v1,treatment,2026-06-01
U00008,ai_search_v1,control,2026-06-01
U00009,ai_search_v1,control,2026-06-01
U00010,ai_search_v1,control,2026-06-01
U00011,ai_search_v1,control,2026-06-01
U00012,ai_search_v1,treatment,2026-06-01
U00013,ai_search_v1,treatment,2026-06-01
U00014,ai_search_v1,control,2026-06-01
U00015,ai_search_v1,control,2026-06-01
U00016,ai_search_v1,control,2026-06-01
U00017,ai_search_v1,treatment,2026-06-01
U00018,ai_search_v1,control,2026-06-01
U00019,ai_search_v1,control,2026-06-01
U00020,ai_search_v1,control,2026-06-01
U00021,ai_search_v1,control,2026-06-01
U00022,ai_search_v1,treatment,2026-06-01
U00023,ai_search_v1,control,2026-06-01
U00024,ai_search_v1,control,2026-06-01
U00025,ai_search_v1,control,2026-06-01
U00026,ai_search_v1,control,2026-06-01
U00027,ai_search_v1,treatment,2026-06-01
U00028,ai_search_v1,treatment,2026-06-01
U00029,ai_search_v1,control,2026-06-01
U00030,ai_search_v1,control,2026-06-01
U00031,ai_search_v1,treatment,2026-06-01
U00032,ai_search_v1,control,2026-06-01
U00033,ai_search_v1,control,2026-06-01
U00034,ai_search_v1,control,2026-06-01
U00035,ai_search_v1,treatment,2026-06-01
U00036,ai_search_v1,control,2026-06-01
U00037,ai_search_v1,control,2026-06-01
U00038,ai_search_v1,control,2026-06-01
U00039,ai_search_v1,control,2026-06-01
U00040,ai_search_v1,treatment,2026-06-01
U00041,ai_search_v1,treatment,2026-06-01
U00042,ai_search_v1,treatment,2026-06-01
U00043,ai_search_v1,treatment,2026-06-01
U00044,ai_search_v1,treatment,2026-06-01
U00045,ai_search_v1,treatment,2026-06-01
U00046,ai_search_v1,treatment,2026-06-01
