event_id,user_id,session_id,timestamp,order_id,product_ids,revenue,search_event_id
PU00008_0_SESS_U00008_0_0,U00008,SESS_U00008_0_0,2026-06-01 20:01:17,OU00008_0_SESS_U00008_0_0,P0006,59.46,SU00008_0_SESS_U00008_0_0
PU00027_0_SESS_U00027_0_0,U00027,SESS_U00027_0_0,2026-06-01 13:29:39,OU00027_0_SESS_U00027_0_0,P0261,139.15,SU00027_0_SESS_U00027_0_0
PU00058_0_SESS_U00058_0_1,U00058,SESS_U00058_0_1,2026-06-01 21:14:18,OU00058_0_SESS_U00058_0_1,P0482,132.84,SU00058_0_SESS_U00058_0_1
PU00058_0_SESS_U00058_0_1,U00058,SESS_U00058_0_1,2026-06-01 16:17:32,OU00058_0_SESS_U00058_0_1,P0451,275.34,SU00058_0_SESS_U00058_0_1
PU00060_0_SESS_U00060_0_0,U00060,SESS_U00060_0_0,2026-06-01 22:24:40,OU00060_0_SESS_U00060_0_0,P0249,144.98,SU00060_0_SESS_U00060_0_0
PU00073_0_SESS_U00073_0_0,U00073,SESS_U00073_0_0,2026-06-01 12:06:43,OU00073_0_SESS_U00073_0_0,P0433,97.31,SU00073_0_SESS_U00073_0_0
PU00080_0_SESS_U00080_0_1,U00080,SESS_U00080_0_1,2026-06-01 07:47:21,OU00080_0_SESS_U00080_0_1,P0246,168.89,SU00080_0_SESS_U00080_0_1
PU00097_0_SESS_U00097_0_0,U00097,SESS_U00097_0_0,2026-06-01 10:40:34,OU00097_0_SESS_U00097_0_0,P0115,227.19,SU00097_0_SESS_U00097_0_0
PU00106_0_SESS_U00106_0_0,U00106,SESS_U00106_0_0,2026-06-01 19:51:42,OU00106_0_SESS_U00106_0_0,P0059,32.01,SU00106_0_SESS_U00106_0_0
PU00119_0_SESS_U00119_0_0,U00119,SESS_U00119_0_0,2026-06-01 20:42:36,OU00119_0_SESS_U00119_0_0,P0016,23.04,SU00119_0_SESS_U00119_0_0
PU00120_0_SESS_U00120_0_0,U00120,SESS_U00120_0_0,2026-06-01 08:14:27,OU00120_0_SESS_U00120_0_0,P0166,127.27,SU00120_0_SESS_U00120_0_0
PU00123_0_SESS_U00123_0_0,U00123,SESS_U00123_0_0,2026-06-01 20:55:30,OU00123_0_SESS_U00123_0_0,P0028,82.96,SU00123_0_SESS_U00123_0_0
PU00129_0_SESS_U00129_0_0,U00129,SESS_U00129_0_0,2026-06-01 07:59:35,OU00129_0_SESS_U00129_0_0,P0427,93.44,SU00129_0_SESS_U00129_0_0
PU00216_0_SESS_U00216_0_0,U00216,SESS_U00216_0_0,2026-06-01 19:06:54,OU00216_0_SESS_U00216_0_0,P0279,133.8,SU00216_0_SESS_U00216_0_0
PU00237_0_SESS_U00237_0_0,U00237,SESS_U00237_0_0,2026-06-01 18:19:57,OU00237_0_SESS_U00237_0_0,P0016,23.04,SU00237_0_SESS_U00237_0_0
PU00246_0_SESS_U00246_0_1,U00246,SESS_U00246_0_1,2026-06-01 15:47:17,OU00246_0_SESS_U00246_0_1,P0149,19.1,SU00246_0_SESS_U00246_0_1
PU00254_0_SESS_U00254_0_0,U00254,SESS_U00254_0_0,2026-06-01 08:00:39,OU00254_0_SESS_U00254_0_0,P0012,175.34,SU00254_0_SESS_U00254_0_0
PU00269_0_SESS_U00269_0_0,U00269,SESS_U00269_0_0,2026-06-01 16:55:27,OU00269_0_SESS_U00269_0_0,P0041,35.63,SU00269_0_SESS_U00269_0_0
PU00270_0_SESS_U00270_0_0,U00270,SESS_U00270_0_0,2026-06-01 20:13:26,OU00270_0_SESS_U00270_0_0,P0249,144.98,SU00270_0_SESS_U00270_0_0
PU00274_0_SESS_U00274_0_0,U00274,SESS_U00274_0_0,2026-06-01 16:49:57,OU00274_0_SESS_U00274_0_0,P0013,184.81,SU00274_0_SESS_U00274_0_0
PU00289_0_SESS_U00289_0_0,U00289,SESS_U00289_0_0,2026-06-01 22:35:44,OU00289_0_SESS_U00289_0_0,P0369,55.35,SU00289_0_SESS_U00289_0_0
PU00316_0_SESS_U00316_0_0,U00316,SESS_U00316_0_0,2026-06-01 15:02:37,OU00316_0_SESS_U00316_0_0,P0023,98.26,SU00316_0_SESS_U00316_0_0
PU00329_0_SESS_U00329_0_0,U00329,SESS_U00329_0_0,2026-06-01 07:38:38,OU00329_0_SESS_U00329_0_0,P0078,39.8,SU00329_0_SESS_U00329_0_0
PU00335_0_SESS_U00335_0_1,U00335,SESS_U00335_0_1,2026-06-01 09:29:39,OU00335_0_SESS_U00335_0_1,P0183,83.82,SU00335_0_SESS_U00335_0_1
PU00361_0_SESS_U00361_0_0,U00361,SESS_U00361_0_0,2026-06-01 13:14:48,OU00361_0_SESS_U00361_0_0,P0131,154.83,SU00361_0_SESS_U00361_0_0
PU00376_0_SESS_U00376_0_0,U00376,SESS_U00376_0_0,2026-06-01 15:28:49,OU00376_0_SESS_U00376_0_0,P0047,103.84,SU00376_0_SESS_U00376_0_0
PU00388_0_SESS_U00388_0_0,U00388,SESS_U00388_0_0,2026-06-01 21:32:50,OU00388_0_SESS_U00388_0_0,P0565,79.34,SU00388_0_SESS_U00388_0_0
PU00421_0_SESS_U00421_0_0,U00421,SESS_U00421_0_0,2026-06-01 21:29:32,OU00421_0_SESS_U00421_0_0,P0015,37.09,SU00421_0_SESS_U00421_0_0
PU00426_0_SESS_U00426_0_1,U00426,SESS_U00426_0_1,2026-06-01 13:59:48,OU00426_0_SESS_U00426_0_1,P0009,136.23,SU00426_0_SESS_U00426_0_1
PU00427_0_SESS_U00427_0_0,U00427,SESS_U00427_0_0,2026-06-01 19:20:12,OU00427_0_SESS_U00427_0_0,P0300,43.59,SU00427_0_SESS_U00427_0_0
PU00459_0_SESS_U00459_0_0,U00459,SESS_U00459_0_0,2026-06-01 17:41:55,OU00459_0_SESS_U00459_0_0,P0027,81.89,SU00459_0_SESS_U00459_0_0
PU00479_0_SESS_U00479_0_0,U00479,SESS_U00479_0_0,2026-06-01 20:07:23,OU00479_0_SESS_U00479_0_0,P0437,22.04,SU00479_0_SESS_U00479_0_0
PU00480_0_SESS_U00480_0_0,U00480,SESS_U00480_0_0,2026-06-01 10:13:41,OU00480_0_SESS_U00480_0_0,P0222,205.38,SU00480_0_SESS_U00480_0_0
PU00481_0_SESS_U00481_0_0,U00481,SESS_U00481_0_0,2026-06-01 21:37:23,OU00481_0_SESS_U00481_0_0,P0002,333.49,SU00481_0_SESS_U00481_0_0
PU00484_0_SESS_U00484_0_0,U00484,SESS_U00484_0_0,2026-06-01 14:48:44,OU00484_0_SESS_U00484_0_0,P0088,60.28,SU00484_0_SESS_U00484_0_0
PU00484_0_SESS_U00484_0_0,U00484,SESS_U00484_0_0,2026-06-01 10:19:40,OU00484_0_SESS_U00484_0_0,P0230,59.75,SU00484_0_SESS_U00484_0_0
