event_id,user_id,session_id,timestamp,query_text,query_length,search_variant,result_count,latency_ms,top_result_similarity_score
SU00003_0_SESS_U00003_0_0_0,U00003,SESS_U00003_0_0,2026-06-01 10:58:00,capm stove,2,ai_semantic,8,142.4,0.4880000054836273
SU00003_0_SESS_U00003_0_0_1,U00003,SESS_U00003_0_0,2026-06-01 16:35:00,gift hoodie,2,ai_semantic,8,170.3,0.6448000073432922
SU00007_0_SESS_U00007_0_0_0,U00007,SESS_U00007_0_0,2026-06-01 08:52:00,fleece-lnied sweater,2,ai_semantic,8,184.0,0.7638000249862671
SU00007_0_SESS_U00007_0_0_1,U00007,SESS_U00007_0_0,2026-06-01 11:30:00,somthing for camping,3,ai_semantic,8,163.3,0.4957999885082245
SU00008_0_SESS_U00008_0_0_0,U00008,SESS_U00008_0_0,2026-06-01 20:00:00,best blender for a gift,5,legacy,8,67.7,0.5336
SU00009_0_SESS_U00009_0_0_0,U00009,SESS_U00009_0_0,2026-06-01 11:46:00,cheap sleeping bag,3,legacy,7,92.8,0.5912
SU00009_0_SESS_U00009_0_0_1,U00009,SESS_U00009_0_0,2026-06-01 15:58:00,gift box set personalzied,4,legacy,8,90.2,0.5261
SU00011_0_SESS_U00011_0_0_0,U00011,SESS_U00011_0_0,2026-06-01 09:24:00,noise-cancelling smartwatch,2,legacy,8,138.3,0.5474
SU00011_0_SESS_U00011_0_0_1,U00011,SESS_U00011_0_0,2026-06-01 21:30:00,soft jacket,2,legacy,8,82.1,0.5928
SU00011_0_SESS_U00011_0_0_2,U00011,SESS_U00011_0_0,2026-06-01 12:40:00,sleeping bag,2,legacy,7,91.1,0.5024
SU00015_0_SESS_U00015_0_0_0,U00015,SESS_U00015_0_0,2026-06-01 17:55:00,gift photo frame,3,legacy,8,68.2,0.5661
SU00015_0_SESS_U00015_0_0_1,U00015,SESS_U00015_0_0,2026-06-01 20:56:00,cheap air fryer,3,legacy,6,74.6,0.5155
SU00018_0_SESS_U00018_0_0_0,U00018,SESS_U00018_0_0,2026-06-01 20:10:00,non-stick toaster,2,legacy,8,93.6,0.5367
SU00021_0_SESS_U00021_0_0_0,U00021,SESS_U00021_0_0,2026-06-01 22:22:00,cheap hoodie,2,legacy,7,86.9,0.442
SU00022_0_SESS_U00022_0_0_0,U00022,SESS_U00022_0_0,2026-06-01 08:43:00,best cleats for camping,4,ai_semantic,8,121.7,0.6715999841690063
SU00022_0_SESS_U00022_0_0_1,U00022,SESS_U00022_0_0,2026-06-01 18:49:00,jacket under 50 dollars,4,ai_semantic,8,200.2,0.5066999793052673
SU00027_0_SESS_U00027_0_0_0,U00027,SESS_U00027_0_0,2026-06-01 13:12:00,steel coffee maker stainelss,4,ai_semantic,8,223.4,0.5
SU00027_0_SESS_U00027_0_0_1,U00027,SESS_U00027_0_0,2026-06-01 22:23:00,best speaker for my mom,5,ai_semantic,8,171.6,0.5238999724388123
SU00028_0_SESS_U00028_0_0_0,U00028,SESS_U00028_0_0,2026-06-01 18:17:00,cheap headphones,2,ai_semantic,8,259.9,0.6647999882698059
SU00033_0_SESS_U00033_0_0_0,U00033,SESS_U00033_0_0,2026-06-01 15:27:00,somthing for the office,4,legacy,8,86.5,0.5856
SU00037_0_SESS_U00037_0_0_0,U00037,SESS_U00037_0_0,2026-06-01 19:05:00,gift power bank,3,legacy,8,62.2,0.5988
SU00037_0_SESS_U00037_0_1_0,U00037,SESS_U00037_0_1,2026-06-01 14:41:00,sleeping bag,2,legacy,7,102.0,0.5439
SU00037_0_SESS_U00037_0_1_1,U00037,SESS_U00037_0_1,2026-06-01 18:03:00,best gift box set for gym,6,legacy,8,100.2,0.5796
SU00047_0_SESS_U00047_0_0_0,U00047,SESS_U00047_0_0,2026-06-01 07:12:00,beaine wamr,2,legacy,0,96.8,
SU00048_0_SESS_U00048_0_0_0,U00048,SESS_U00048_0_0,2026-06-01 15:24:00,air fryer,2,legacy,6,112.1,0.5861
SU00050_0_SESS_U00050_0_0_0,U00050,SESS_U00050_0_0,2026-06-01 14:04:00,portable camp stove,3,legacy,8,79.8,0.5404
SU00050_0_SESS_U00050_0_0_1,U00050,SESS_U00050_0_0,2026-06-01 10:59:00,cheap knife set,3,legacy,8,114.9,0.5797
SU00051_0_SESS_U00051_0_0_0,U00051,SESS_U00051_0_0,2026-06-01 22:07:00,gift photo frame,3,ai_semantic,8,164.0,0.6269000172615051
SU00052_0_SESS_U00052_0_0_0,U00052,SESS_U00052_0_0,2026-06-01 11:28:00,cheap power bank,3,ai_semantic,8,185.1,0.7488999962806702
SU00052_0_SESS_U00052_0_0_1,U00052,SESS_U00052_0_0,2026-06-01 07:17:00,gift box set under 50 dollars,6,ai_semantic,8,223.7,0.6812999844551086
SU00058_0_SESS_U00058_0_0_0,U00058,SESS_U00058_0_0,2026-06-01 22:07:00,somthing for travel,3,ai_semantic,8,204.3,0.3716999888420105
SU00058_0_SESS_U00058_0_0_1,U00058,SESS_U00058_0_0,2026-06-01 10:16:00,smartwatch wireelss,2,ai_semantic,8,239.7,0.46299999952316284
SU00058_0_SESS_U00058_0_1_0,U00058,SESS_U00058_0_1,2026-06-01 20:57:00,best sneakers for travel,4,ai_semantic,8,200.6,0.6496000289916992
SU00058_0_SESS_U00058_0_1_1,U00058,SESS_U00058_0_1,2026-06-01 16:11:00,cooler copmact,2,ai_semantic,8,189.0,0.47929999232292175
SU00059_0_SESS_U00059_0_0_0,U00059,SESS_U00059_0_0,2026-06-01 15:11:00,bets power bank for my mom,6,legacy,8,93.5,0.5792
SU00060_0_SESS_U00060_0_0_0,U00060,SESS_U00060_0_0,2026-06-01 20:53:00,dishwasher-safe toaster,2,ai_semantic,8,156.1,0.8783000111579895
SU00060_0_SESS_U00060_0_0_1,U00060,SESS_U00060_0_0,2026-06-01 22:05:00,hoodie fleecel-ined,2,ai_semantic,8,196.0,0.7613999843597412
SU00060_0_SESS_U00060_0_0_2,U00060,SESS_U00060_0_0,2026-06-01 07:22:00,electric cookware set,3,ai_semantic,8,201.7,0.8632000088691711
SU00064_0_SESS_U00064_0_0_0,U00064,SESS_U00064_0_0,2026-06-01 22:28:00,rechargeable smartwatch,2,legacy,8,93.5,0.5567
SU00064_0_SESS_U00064_0_0_1,U00064,SESS_U00064_0_0,2026-06-01 12:10:00,tnet fodlable,2,legacy,0,82.3,
SU00071_0_SESS_U00071_0_0_0,U00071,SESS_U00071_0_0,2026-06-01 07:53:00,stainless steel knife set,4,legacy,8,77.0,0.5778
